molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL90512,CHEMBL3563,IC50,50.0,nM,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,trypanosoma_cruzi,7.301029995663981
CHEMBL327902,CHEMBL3563,IC50,10000.0,nM,C/C(=N\NC(N)=O)c1cccc(Cl)c1,trypanosoma_cruzi,5.0
CHEMBL88307,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,trypanosoma_cruzi,5.0
CHEMBL90475,CHEMBL3563,IC50,1000.0,nM,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi,6.0
CHEMBL90371,CHEMBL3563,IC50,10000.0,nM,CCC(N/N=C(/N)S)c1cccc(Br)c1,trypanosoma_cruzi,5.0
CHEMBL88354,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,trypanosoma_cruzi,5.0
CHEMBL440504,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccccc1,trypanosoma_cruzi,5.0
CHEMBL91644,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,trypanosoma_cruzi,5.0
CHEMBL315862,CHEMBL3563,IC50,10000.0,nM,FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,trypanosoma_cruzi,5.0
CHEMBL328234,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,trypanosoma_cruzi,5.0
CHEMBL91643,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\NC(N)=O)c1cccc(Br)c1,trypanosoma_cruzi,5.0
CHEMBL94235,CHEMBL3563,IC50,2800.0,nM,N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,trypanosoma_cruzi,5.552841968657781
CHEMBL92099,CHEMBL3563,IC50,20.0,nM,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,trypanosoma_cruzi,7.698970004336019
CHEMBL90428,CHEMBL3563,IC50,230.0,nM,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,trypanosoma_cruzi,6.638272163982407
CHEMBL89915,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,trypanosoma_cruzi,5.0
CHEMBL91640,CHEMBL3563,IC50,80.0,nM,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,trypanosoma_cruzi,7.096910013008056
CHEMBL91887,CHEMBL3563,IC50,10000.0,nM,S=C(NCCN1CCOCC1)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi,5.0
CHEMBL328370,CHEMBL3563,IC50,10000.0,nM,S=C(NCc1ccco1)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi,5.0
CHEMBL90339,CHEMBL3563,IC50,10000.0,nM,C/C(=N\NC(N)=O)c1cccc(Br)c1,trypanosoma_cruzi,5.0
CHEMBL90772,CHEMBL3563,IC50,320.0,nM,N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,trypanosoma_cruzi,6.494850021680094
