molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL164580,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCOCC1,leishmania_donovani,4.0
CHEMBL166314,CHEMBL367,IC50,4020.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCC12CC3CC(CC(C3)C1)C2,leishmania_donovani,5.39577394691553
CHEMBL165097,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCC1,leishmania_donovani,4.0
CHEMBL166092,CHEMBL367,IC50,3160.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1C2CC3CC(C2)CC1C3,leishmania_donovani,5.5003129173815966
CHEMBL349670,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccc2ccccc2c1,leishmania_donovani,4.0
CHEMBL166069,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)CCOCC1,leishmania_donovani,4.0
CHEMBL350978,CHEMBL367,IC50,23650.0,nM,CCCCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani,4.62616885492617
CHEMBL350506,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCCCC1,leishmania_donovani,4.0
CHEMBL166182,CHEMBL367,IC50,16220.0,nM,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,leishmania_donovani,4.789949150124863
CHEMBL351276,CHEMBL367,IC50,46850.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,leishmania_donovani,4.329290404776203
CHEMBL166026,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,leishmania_donovani,4.0
CHEMBL164726,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOc2ccc3ccccc3c2)CCOCC1,leishmania_donovani,4.0
CHEMBL165668,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCCCC1,leishmania_donovani,4.0
CHEMBL165632,CHEMBL367,IC50,45100.0,nM,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani,4.345823458122039
CHEMBL164620,CHEMBL367,IC50,5410.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,leishmania_donovani,5.266802734893431
CHEMBL165411,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCOCC1,leishmania_donovani,4.0
CHEMBL164588,CHEMBL367,IC50,8700.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCCCC1,leishmania_donovani,5.060480747381382
CHEMBL423980,CHEMBL367,IC50,9490.0,nM,CCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani,5.022733787572707
CHEMBL165221,CHEMBL367,IC50,3910.0,nM,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani,5.407823242604133
CHEMBL349612,CHEMBL367,IC50,29700.0,nM,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,leishmania_donovani,4.527243550682788
CHEMBL164900,CHEMBL367,IC50,5090.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,leishmania_donovani,5.293282217663241
CHEMBL165807,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOc2ccccc2)CCOCC1,leishmania_donovani,4.0
CHEMBL351420,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccccc1,leishmania_donovani,4.0
CHEMBL350785,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCOc1ccccc1,leishmania_donovani,4.0
CHEMBL165114,CHEMBL367,IC50,7080.0,nM,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani,5.149966742310231
CHEMBL166020,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCOc2ccccc2)CCOCC1,leishmania_donovani,4.0
