molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism,pIC50
CHEMBL1908326,CHEMBL612893,IC50,0.37,ug.mL-1,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,schistosoma_mansoni,9.431798275933005
CHEMBL429251,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3)cccc2NC1=O,schistosoma_mansoni,8.0
CHEMBL404550,CHEMBL612893,IC50,4.75,ug.mL-1,CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S,schistosoma_mansoni,8.323306390375134
CHEMBL440400,CHEMBL612893,IC50,0.35,ug.mL-1,CC1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S,schistosoma_mansoni,9.455931955649724
CHEMBL402106,CHEMBL612893,IC50,1.3,ug.mL-1,CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,schistosoma_mansoni,8.886056647693163
CHEMBL257529,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2cc(N)ccc2NC1=O,schistosoma_mansoni,8.0
CHEMBL270183,CHEMBL612893,IC50,5.79,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(Cl)cc(O)cc3Cl)cccc2NC1=O,schistosoma_mansoni,8.237321436272564
CHEMBL437973,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3Br)cccc2NC1=O,schistosoma_mansoni,8.0
CHEMBL401779,CHEMBL612893,IC50,3.8,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(F)cc(O)cc3F)cccc2NC1=O,schistosoma_mansoni,8.42021640338319
CHEMBL255796,CHEMBL612893,IC50,10.0,ug.mL-1,Cc1cc(C)c(O)c(/N=N/c2cccc3c2C(c2ccccc2Cl)=NC(C)C(=O)N3)c1,schistosoma_mansoni,8.0
CHEMBL255795,CHEMBL612893,IC50,5.79,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)c(C(C)C)c3)cccc2NC1=O,schistosoma_mansoni,8.237321436272564
CHEMBL256006,CHEMBL612893,IC50,5.79,ug.mL-1,CCc1cc(/N=N/c2cccc3c2C(c2ccccc2Cl)=NC(C)C(=O)N3)ccc1O,schistosoma_mansoni,8.237321436272564
CHEMBL409857,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N\c3c(O)ccc4ccccc34)cccc2NC1=O,schistosoma_mansoni,8.0
CHEMBL270006,CHEMBL612893,IC50,9.1,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N\c3ccc(O)c4ccccc34)cccc2NC1=O,schistosoma_mansoni,8.040958607678906
