molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL164580,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCOCC1,leishmania_donovani
CHEMBL166314,CHEMBL367,IC50,4020.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCC12CC3CC(CC(C3)C1)C2,leishmania_donovani
CHEMBL165097,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCC1,leishmania_donovani
CHEMBL166092,CHEMBL367,IC50,3160.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1C2CC3CC(C2)CC1C3,leishmania_donovani
CHEMBL349670,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccc2ccccc2c1,leishmania_donovani
CHEMBL166069,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])Oc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)CCOCC1,leishmania_donovani
CHEMBL350978,CHEMBL367,IC50,23650.0,nM,CCCCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani
CHEMBL350506,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOC2CCCCC2)CCCCC1,leishmania_donovani
CHEMBL166182,CHEMBL367,IC50,16220.0,nM,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,leishmania_donovani
CHEMBL351276,CHEMBL367,IC50,46850.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,leishmania_donovani
CHEMBL166026,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,leishmania_donovani
CHEMBL164726,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOc2ccc3ccccc3c2)CCOCC1,leishmania_donovani
CHEMBL165668,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCCCC1,leishmania_donovani
CHEMBL165632,CHEMBL367,IC50,45100.0,nM,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani
CHEMBL164620,CHEMBL367,IC50,5410.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,leishmania_donovani
CHEMBL165411,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCC2)CCOCC1,leishmania_donovani
CHEMBL164588,CHEMBL367,IC50,8700.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCCCC1,leishmania_donovani
CHEMBL423980,CHEMBL367,IC50,9490.0,nM,CCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani
CHEMBL165221,CHEMBL367,IC50,3910.0,nM,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani
CHEMBL349612,CHEMBL367,IC50,29700.0,nM,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,leishmania_donovani
CHEMBL164900,CHEMBL367,IC50,5090.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,leishmania_donovani
CHEMBL165807,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCOc2ccccc2)CCOCC1,leishmania_donovani
CHEMBL351420,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCOc1ccccc1,leishmania_donovani
CHEMBL350785,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCOc1ccccc1,leishmania_donovani
CHEMBL165114,CHEMBL367,IC50,7080.0,nM,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,leishmania_donovani
CHEMBL166020,CHEMBL367,IC50,100000.0,nM,C[N+]1(CCOP(=O)([O-])OCCCCCCOc2ccccc2)CCOCC1,leishmania_donovani
CHEMBL164859,CHEMBL367,IC50,22000.0,nM,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,leishmania_donovani
CHEMBL164863,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCOC1CCCCC1,leishmania_donovani
CHEMBL165555,CHEMBL367,IC50,50670.0,nM,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,leishmania_donovani
CHEMBL451548,CHEMBL367,IC50,100000.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCC12CC3CC(CC(C3)C1)C2,leishmania_donovani
CHEMBL435661,CHEMBL367,IC50,4990.0,nM,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1C2CC3CC(C2)CC1C3,leishmania_donovani
CHEMBL166198,CHEMBL367,IC50,38600.0,nM,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,leishmania_donovani
