molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL1908326,CHEMBL612893,IC50,0.37,ug.mL-1,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,schistosoma_mansoni
CHEMBL429251,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3)cccc2NC1=O,schistosoma_mansoni
CHEMBL404550,CHEMBL612893,IC50,4.75,ug.mL-1,CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S,schistosoma_mansoni
CHEMBL440400,CHEMBL612893,IC50,0.35,ug.mL-1,CC1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=S,schistosoma_mansoni
CHEMBL402106,CHEMBL612893,IC50,1.3,ug.mL-1,CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,schistosoma_mansoni
CHEMBL257529,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2cc(N)ccc2NC1=O,schistosoma_mansoni
CHEMBL270183,CHEMBL612893,IC50,5.79,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(Cl)cc(O)cc3Cl)cccc2NC1=O,schistosoma_mansoni
CHEMBL437973,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3Br)cccc2NC1=O,schistosoma_mansoni
CHEMBL401779,CHEMBL612893,IC50,3.8,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3c(F)cc(O)cc3F)cccc2NC1=O,schistosoma_mansoni
CHEMBL255796,CHEMBL612893,IC50,10.0,ug.mL-1,Cc1cc(C)c(O)c(/N=N/c2cccc3c2C(c2ccccc2Cl)=NC(C)C(=O)N3)c1,schistosoma_mansoni
CHEMBL255795,CHEMBL612893,IC50,5.79,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)c(C(C)C)c3)cccc2NC1=O,schistosoma_mansoni
CHEMBL256006,CHEMBL612893,IC50,5.79,ug.mL-1,CCc1cc(/N=N/c2cccc3c2C(c2ccccc2Cl)=NC(C)C(=O)N3)ccc1O,schistosoma_mansoni
CHEMBL409857,CHEMBL612893,IC50,10.0,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N\c3c(O)ccc4ccccc34)cccc2NC1=O,schistosoma_mansoni
CHEMBL270006,CHEMBL612893,IC50,9.1,ug.mL-1,CC1N=C(c2ccccc2Cl)c2c(/N=N\c3ccc(O)c4ccccc34)cccc2NC1=O,schistosoma_mansoni
CHEMBL576624,CHEMBL6110,IC50,350.0,nM,N#Cc1c(-c2csc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],schistosoma_mansoni
CHEMBL569420,CHEMBL6110,IC50,400.0,nM,N#Cc1c(-c2ccc(-c3no[n+]([O-])c3C#N)s2)no[n+]1[O-],schistosoma_mansoni
