molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,smiles,organism
CHEMBL90512,CHEMBL3563,IC50,50.0,nM,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,trypanosoma_cruzi
CHEMBL327902,CHEMBL3563,IC50,10000.0,nM,C/C(=N\NC(N)=O)c1cccc(Cl)c1,trypanosoma_cruzi
CHEMBL88307,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL90475,CHEMBL3563,IC50,1000.0,nM,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,trypanosoma_cruzi
CHEMBL90371,CHEMBL3563,IC50,10000.0,nM,CCC(N/N=C(/N)S)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL88354,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,trypanosoma_cruzi
CHEMBL440504,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccccc1,trypanosoma_cruzi
CHEMBL91644,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL315862,CHEMBL3563,IC50,10000.0,nM,FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,trypanosoma_cruzi
CHEMBL328234,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL91643,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\NC(N)=O)c1cccc(Br)c1,trypanosoma_cruzi
CHEMBL94235,CHEMBL3563,IC50,2800.0,nM,N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,trypanosoma_cruzi
CHEMBL92099,CHEMBL3563,IC50,20.0,nM,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,trypanosoma_cruzi
CHEMBL90428,CHEMBL3563,IC50,230.0,nM,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,trypanosoma_cruzi
CHEMBL89915,CHEMBL3563,IC50,10000.0,nM,CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,trypanosoma_cruzi
CHEMBL91640,CHEMBL3563,IC50,80.0,nM,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,trypanosoma_cruzi
