rank,protein_id,disease,organism,pocket_score,final_score,human_similarity_pct,best_compound_pIC50,best_compound_smiles
1,Q8T7E0,Leishmaniasis,leishmania_donovani,0.4338,0.5693,5.13,6.224,CC/C(=N\N=C(\N)S)c1ccccc1
2,A0A504XCF0,Leishmaniasis,leishmania_donovani,0.2824,0.544,5.7,6.175,CC/C(=N\N=C(\N)S)c1ccccc1
3,A0A504XT18,Leishmaniasis,leishmania_donovani,0.2898,0.5366,6.02,6.218,CC/C(=N\N=C(\N)S)c1ccccc1
4,A0A504XCF9,Leishmaniasis,leishmania_donovani,0.2177,0.528,5.16,6.222,CC/C(=N\N=C(\N)S)c1ccccc1
5,A0A504XVI1,Leishmaniasis,leishmania_donovani,0.3098,0.5205,5.58,6.135,CC/C(=N\N=C(\N)S)c1ccccc1
6,A0A504XNJ5,Leishmaniasis,leishmania_donovani,0.2605,0.5137,5.45,6.256,CC/C(=N\N=C(\N)S)c1ccccc1
7,A0A504XT06,Leishmaniasis,leishmania_donovani,0.2504,0.5122,6.19,6.368,CC/C(=N\N=C(\N)S)c1ccccc1
8,A0A504X6L5,Leishmaniasis,leishmania_donovani,0.2735,0.4761,5.33,6.117,CC/C(=N\N=C(\N)S)c1ccccc1
9,Q27675,Leishmaniasis,leishmania_donovani,0.26,0.4748,6.45,6.313,CC/C(=N\N=C(\N)S)c1ccccc1
10,A0A3Q8IGM2,Leishmaniasis,leishmania_donovani,0.2185,0.4592,6.36,6.139,CC/C(=N\N=C(\N)S)c1ccccc1
