pdb_id,pdb_path,total_residues,pocket_residues,pocket_fraction
1CL8,data/processed/training/pdbs/1CL8.pdb,261,4,0.01532567049808429
3MFP,data/processed/training/pdbs/3MFP.pdb,374,21,0.05614973262032086
2H7S,data/processed/training/pdbs/2H7S.pdb,405,32,0.07901234567901234
4KOY,data/processed/training/pdbs/4KOY.pdb,159,63,0.39622641509433965
2OZ2,data/processed/training/pdbs/2OZ2.pdb,215,48,0.22325581395348837
3ITF,data/processed/training/pdbs/3ITF.pdb,103,61,0.5922330097087378
1AON,data/processed/training/pdbs/1AON.pdb,525,25,0.047619047619047616
3L4Q,data/processed/training/pdbs/3L4Q.pdb,283,5,0.0176678445229682
2JK6,data/processed/training/pdbs/2JK6.pdb,489,54,0.11042944785276074
3RGF,data/processed/training/pdbs/3RGF.pdb,355,85,0.23943661971830985
1E7W,data/processed/training/pdbs/1E7W.pdb,270,47,0.17407407407407408
2BFA,data/processed/training/pdbs/2BFA.pdb,266,55,0.20676691729323307
3GRS,data/processed/training/pdbs/3GRS.pdb,461,47,0.1019522776572668
3KCU,data/processed/training/pdbs/3KCU.pdb,252,8,0.031746031746031744
3MHR,data/processed/training/pdbs/3MHR.pdb,235,45,0.19148936170212766
4OAE,data/processed/training/pdbs/4OAE.pdb,160,61,0.38125
2YNF,data/processed/training/pdbs/2YNF.pdb,560,38,0.06785714285714285
4CGO,data/processed/training/pdbs/4CGO.pdb,411,60,0.145985401459854
2V6O,data/processed/training/pdbs/2V6O.pdb,586,83,0.1416382252559727
4MQT,data/processed/training/pdbs/4MQT.pdb,293,27,0.09215017064846416
4CQF,data/processed/training/pdbs/4CQF.pdb,421,93,0.2209026128266033
3ZMQ,data/processed/training/pdbs/3ZMQ.pdb,263,18,0.06844106463878327
4FTP,data/processed/training/pdbs/4FTP.pdb,432,8,0.018518518518518517
3O8O,data/processed/training/pdbs/3O8O.pdb,786,53,0.06743002544529263
4CAD,data/processed/training/pdbs/4CAD.pdb,269,8,0.02973977695167286
3ZYT,data/processed/training/pdbs/3ZYT.pdb,372,12,0.03225806451612903
