rank,protein_id,disease,organism,pocket_score,final_score,human_similarity_pct,best_compound_pIC50,best_compound_smiles
1,Q4CPV0,Chagas Disease,trypanosoma_cruzi,0.3633,0.5532,6.18,6.235,CC/C(=N\N=C(\N)S)c1ccccc1
2,Q4DCH3,Chagas Disease,trypanosoma_cruzi,0.2577,0.5487,5.79,6.295,CC/C(=N\N=C(\N)S)c1ccccc1
3,Q4DJW7,Chagas Disease,trypanosoma_cruzi,0.352,0.5394,6.81,6.271,CC/C(=N\N=C(\N)S)c1ccccc1
4,Q4E409,Chagas Disease,trypanosoma_cruzi,0.2778,0.5227,5.62,6.31,CC/C(=N\N=C(\N)S)c1ccccc1
5,Q4CPU1,Chagas Disease,trypanosoma_cruzi,0.2437,0.4693,5.65,6.229,CC/C(=N\N=C(\N)S)c1ccccc1
6,Q4CNI2,Chagas Disease,trypanosoma_cruzi,0.2337,0.4638,6.77,6.16,CC/C(=N\N=C(\N)S)c1ccccc1
7,Q9GT49,Chagas Disease,trypanosoma_cruzi,0.125,0.4271,6.96,6.094,CC/C(=N\N=C(\N)S)c1ccccc1
8,Q4CPE5,Chagas Disease,trypanosoma_cruzi,0.1583,0.4239,5.02,6.26,CC/C(=N\N=C(\N)S)c1ccccc1
9,Q4CPE3,Chagas Disease,trypanosoma_cruzi,0.131,0.4028,4.54,6.108,CC/C(=N\N=C(\N)S)c1ccccc1
10,Q4CNL4,Chagas Disease,trypanosoma_cruzi,0.0897,0.4,5.88,6.149,CC/C(=N\N=C(\N)S)c1ccccc1
