rank,protein_id,disease,organism,pocket_score,final_score,human_similarity_pct,best_compound_pIC50,best_compound_smiles
1,A0A3Q0KHE7,Schistosomiasis,schistosoma_mansoni,0.285,0.5191,4.96,6.214,CC/C(=N\N=C(\N)S)c1ccccc1
2,A0A5K4EKK0,Schistosomiasis,schistosoma_mansoni,0.3037,0.5082,5.21,6.185,CC/C(=N\N=C(\N)S)c1ccccc1
3,G4VB10,Schistosomiasis,schistosoma_mansoni,0.2803,0.5039,7.25,6.214,CC/C(=N\N=C(\N)S)c1ccccc1
4,G4V9S0,Schistosomiasis,schistosoma_mansoni,0.126,0.4804,7.11,6.231,CC/C(=N\N=C(\N)S)c1ccccc1
5,A0A3Q0KF43,Schistosomiasis,schistosoma_mansoni,0.113,0.4803,5.82,6.199,CC/C(=N\N=C(\N)S)c1ccccc1
6,A0A3Q0KR05,Schistosomiasis,schistosoma_mansoni,0.1511,0.4158,5.79,6.156,CC/C(=N\N=C(\N)S)c1ccccc1
7,G4VGI0,Schistosomiasis,schistosoma_mansoni,0.1126,0.4081,6.3,6.2,CC/C(=N\N=C(\N)S)c1ccccc1
8,G4VQL7,Schistosomiasis,schistosoma_mansoni,0.0845,0.404,5.14,6.336,CC/C(=N\N=C(\N)S)c1ccccc1
9,A0A3Q0KLJ1,Schistosomiasis,schistosoma_mansoni,0.0974,0.3901,6.12,6.338,CC/C(=N\N=C(\N)S)c1ccccc1
10,Q27778,Schistosomiasis,schistosoma_mansoni,0.1074,0.3897,4.69,6.259,CC/C(=N\N=C(\N)S)c1ccccc1
